1012,11705306,UNCLASSIFIED,2ND STREET PHARMACY,510-835-0774,465 2ND STREET, ,OAKLAND,CA,94607,3839,ALAMEDA,6001, , , , ,2010-07-02T00:00:00.000Z,PHONE,2010-07-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23632214,-122.276852,37.796049,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MOMSPHARMACY.COM,1669661237,2,SPECIALTY PHARMACIES INC,2ND STREET PHARMACY,3,1660 WALT WHITMAN RD,SUITE 105,MELVILLE,NY,117474159,US,6315476520,6312495863,10/19/2007,10/19/2007,333600000X, , , , , , , , , , , , , , , , , , , , , , , 
1013,11674419,UNCLASSIFIED,WILLOW CREEK PHARMACY,530-629-3144,39050 HIGHWAY 299, ,WILLOW CREEK,CA,95573, ,HUMBOLDT,6023, , , , ,2010-07-09T00:00:00.000Z,PHONE,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,91201417,-123.630514,40.938913,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1457464034,2,"DOUBLE B PHARMACEUTICALS, INC.",WILLOW CREEK PHARMACY,3,PO BOX 67, ,WILLOW CREEK,CA,955730067,US,5306293144,5306294303,08/16/2006,05/09/2008,3336C0003X,PHY39588,CA, , , , , , , , , , , , , , , , , , , , , 
1014,11699596,UNCLASSIFIED,TRINITY HOSPITAL,530-623-5541,60 EASTER AVENUE, ,WEAVERVILLE,CA,96093, ,TRINITY,6105, , , , ,2010-07-09T00:00:00.000Z,ALT REF,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,706692025,-122.939846,40.737934,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MCMEDICAL.ORG,1336287200,2,MOUNTAIN COMMUNITIES HEALTHCARE DISTRICT,LONG TERM CARE PHARMACY,3,PO BOX 1229, ,WEAVERVILLE,CA,960931229,US,5306235541,5306236421,02/02/2007,07/17/2007,3336L0003X,HPE36008,CA, , , , , , , , , , , , , , , , , , , , , 
1015,11708622,UNCLASSIFIED,VALLEY HEALTH CENTER - SUNNYVALE,408-992-4830,660 SOUTH FAIR OAKS AVENUE, ,SUNNYVALE,CA,94086,7913,SANTA CLARA,6085, , , , ,2010-07-09T00:00:00.000Z,PHONE,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23732226,-122.023486,37.364851,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SCCGOV.ORG/PORTAL/SITE/VHP,1821241035,2,COUNTY OF SANTA CLARA,VALLEY HEALTH CENTER AT SUNNYVALE PHARMACY,3,751 S BASCOM AVE,BUILDING W,SAN JOSE,CA,951282604,US,4088852300,4088855822,10/31/2008,11/03/2009,332B00000X, , ,3336C0002X,49155,CA, , , , , , , , , , , , , , , , , , 
1016,11652060,UNCLASSIFIED,OMNICARE,530-224-3373,5200 CHURN CREEK ROAD,SUITE A,REDDING,CA,96002,3930,SHASTA,6089, , , , ,2010-07-12T00:00:00.000Z,PHONE,2010-07-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,105617981,-122.34725,40.53796,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.OMNICARE.COM,1922040740,2,"EVERGREEN PHARMACEUTICAL OF CALIFORNIA, INC.","OMNICARE REDDING, CA",3,100 E RIVERCENTER BLVD,SUITE 1600,COVINGTON,KY,410111555,US,8593923300, ,06/13/2006,09/03/2009,3336I0012X, , ,3336L0003X, , , , , , , , , , , , , , , , , , , , 
1017,11654439,UNCLASSIFIED,SAFEWAY,925-672-2107,5431 CLAYTON ROAD, ,CLAYTON,CA,94517,1039,CONTRA COSTA,6013, , , , ,2010-07-13T00:00:00.000Z,PHONE,2010-07-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,120882786,-121.953384,37.953821,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAFEWAY.COM,1417983297,2,SAFEWAY INC,SAFEWAY PHARMACY #1195,3,20427 N 27TH AVE # MSC4551, ,PHOENIX,AZ,850273241,US, , ,06/24/2006,12/01/2008,333600000X,PHY36191,CA,3336C0003X, , , , , , , , , , , , , , , , , , , , 
1018,11685791,UNCLASSIFIED,COMMUNITY PHARMACY,541-388-7731,2500 NORTHEAST NEFF ROAD,SAINT CHARLES MEDICAL CENTER 1ST FLOOR,BEND,OR,97701, ,DESCHUTES,41017, , , , ,2010-07-13T00:00:00.000Z,ALT REF,2010-07-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,89857580,-121.268901,44.068258,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.STCHARLESHEALTHCARE.ORG,1407953805,2,CASCADE HEALTHCARE COMMUNITY,COMMUNITY PHARMACY AT ST. CHARLES MEDICAL CENTER,3,2500 NE NEFF RD, ,BEND,OR,977016015,US,5413887731,5413856320,09/20/2006,07/08/2007,3336C0003X,RP0000901-CS,OR, , , , , , , , , , , , , , , , , , , , , 
1019,11655386,UNCLASSIFIED,SAFEWAY,541-389-7184,320 SOUTHWEST CENTURY DRIVE, ,BEND,OR,97702,3037,DESCHUTES,41017, , , , ,2010-07-12T00:00:00.000Z,ALT REF,2010-07-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,776627898,-121.329525,44.047125,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAFEWAY.COM,1003845058,2,SAFEWAY INC,SAFEWAY PHARMACY #1888,3,20427 N 27TH AVE # MSC4551, ,PHOENIX,AZ,850273241,US, , ,07/02/2006,12/10/2008,333600000X,2050,OR,3336C0003X, , , , , , , , , , , , , , , , , , , , 
1020,11679037,UNCLASSIFIED,COSTCO,541-383-2199,2500 NORTHEAST HIGHWAY 20, ,BEND,OR,97701,6277,DESCHUTES,41017, , , , ,2010-07-12T00:00:00.000Z,ALT REF,2010-07-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,89857550,-121.267603,44.057645,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.COSTCO.COM,1881704401,2,COSTCO WHOLESALE CORPORATION,COSTCO PHARMACY,3,2500 NE HIGHWAY 20, ,BEND,OR,977016277,US, , ,08/30/2006,05/10/2008,333600000X,1290,OR,3336C0003X, , , , , , , , , , , , , , , , , , , , 
1021,11671546,UNCLASSIFIED,RITE AID - 5886,408-774-0134,2310 HOMESTEAD ROAD,FOOTHILL PLAZA,LOS ALTOS,CA,94024,7339,SANTA CLARA,6085, , , , ,2010-07-14T00:00:00.000Z,PHONE,2010-07-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,776737395,-122.067369,37.336427,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.RITEAID.COM,1649286931,2,THRIFTY PAYLESS INC,RITE AID PHARMACY 05886,3,200 NEWBERRY COMMONS, ,ETTERS,PA,173199363,US,7177612633,7179758659,07/31/2006,03/02/2009,332B00000X, , ,3336C0003X,PHY42745,CA, , , , , , , , , , , , , , , , , , 
